-1321522848,8/22/10,436,160,10,,,,,,,,,,,170,2,0.224,29,1,0,0,30,35.2893,2356,rheocrene,,6.68,134,13.6,,0,174,0.03,0.569,0.047,0,0,0,0.516,0.05,39.85,1.05,,43.25,12.6,,,1.04
-1321019626,9/9/10,625,70,182,210,2,,,,,,,,,464,4,1.035,5,4,0,0,9,36.417,1820,hillslope,19.2,7.92,315,11.23,320,0.95,2,0.99,0.395,0.486,0,0,0.085,0.924,0,5.57,177.1,,,0.81,,,0.164
-1295196229,7/29/10,568,25,11,20,14,,,,,,,,,70,4,1.338,36,3,0,1,40,49.2254,2048,rheocrene,1.13,8.17,119,2.6,35,0.99,70,0.61,0.308,0.025,0,0.01,0,0.805,0.082,9.97,1,,3.83,6.64,0.05,0.04,1.194
-1256996753,10/23/10,610,0.7,0.04,,,,,,,,,,,1,2,0.21,2,1,0,0,3,36.3045,1407,hillslope,,7.63,688,16,330,0.92,82,0.54,0.12,0.35,0,0,0,1.008,0.2,0.08,,,,,,,0
-1251017311,6/28/12,17999,1274,,,,,,,,,,,,1274,1,0,24,9,3,2,38,36.3818,2351,hillslope,,7.68,427,10.9,320,0,28,0.84,0.338,0.732,0.35,0.04,0,1.182,0.02,85.49,2.55,,302.32,28.03,,,0.771
-1232486574,10/27/10,613,5,8.75,,,,,,,,,,,14,2,0.655,1,2,0,0,3,36.3989,2157,rheocrene,,7.31,488,16.3,240,0.87,1,0.99,0.001,0.468,0,0,0,0.01,0,,,,,,,0.01,0
-1205894985,6/29/12,18001,718,,,,,,,,,,,,718,1,0,19,10,3,1,33,36.3688,2329,hillslope,,7.55,406,13.8,540,0,257,0.43,0.169,0.344,0.15,0.25,0,1.338,0.001,80.42,0.07,,28.15,12.35,,0.07,0.853
-1166825104,6/27/11,632,80,20,,,,,,,,,,,100,2,0.5,4,3,0,0,7,36.6252,2163,hanging garden,0.02,8.05,323,9.4,281,1,13,0.93,0.007,0.107,0,0,0,0.733,0.036,,0.24,,0.1,0.4,,,0.968
-1152098873,8/17/11,882,27,29,172,,,,,,,,,,228,3,0.728,15,4,0,0,19,49.0931,1331,helocrene,,,,,,1,145,0.19,0.819,0.069,0,0,0.02,0.428,0.01,112.24,16.28,,1.25,,,57.03,0.915
-1115055177,7/22/09,397,14,62,58,254,,,,,,,,,388,4,0.974,38,12,4,2,56,49.8161,1461,hillslope,0.62,7.51,586,4.9,361,0.98,145,0.19,0.264,0.232,0.129,0.423,0,1.369,0.018,3.46,0.69,,73.15,16.12,,,0.653
